Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.164120755557615,0.327374905998424,0.558047382788356,0,0,0,0.569087710758288,0.00322337245024159,-1.08978062418385E-09,-5.23191580486976E-20,0.00644664936698071,-6.97410021655592E-18,0.00322713964917259,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/base.STL,,Laptop Stand Plate Assembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_l0,0.0559336851155522,-0.0292574775004147,-0.0385822690701582,0,0,0,0.0968689232942503,1.55445766229565E-05,-8.35277627129582E-08,5.03416975328284E-08,2.70845786958263E-05,-8.09666106437045E-22,1.84598196263773E-05,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l0.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l0.STL,,Arm Link 0 Assembly-2,Origin_joint_l0,,joint_l0,fixed,0.24312,-0.58208,0.33712,1.5708,0,0,base,0,0,0,,,,,,,,,,,,
link_l1,0.02809575839072,3.28070903776734E-14,-6.99855560301055E-05,0,0,0,0.0983193966224125,1.82547717455819E-05,9.28757228385284E-21,1.33869460245786E-07,2.74058318008889E-05,-1.72387453504201E-21,1.55837095473524E-05,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l1.STL,,Arm Link 1 Assembly-2,Origin_joint_l1,Axis_joint_l1,joint_l1,revolute,0.079005,-0.03013,-0.026943,0,0,0,link_l0,1,0,0,0,0,0,0,,,,,,,,
link_l2,0.0461886207700381,1.78651626825399E-09,-0.0103797278638016,0,0,0,0.0859994124632009,2.46737502641869E-05,-4.15515135660887E-13,3.06999597287475E-07,2.60834574351704E-05,-1.62418442269541E-11,1.4446349540438E-05,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l2.STL,,Arm Link 2 Assembly-2,Origin_joint_l2,Axis_joint_l2,joint_l2,revolute,0.041,0,0,0,0,0,link_l1,0,0,1,0,0,0,0,,,,,,,,
link_l3,0.0147682772904482,-2.22044604925031E-14,5.34514283072607E-05,0,0,0,0.0159210393973333,6.45323964092141E-06,-2.07852994571441E-21,-4.34332501844656E-20,7.34995360383269E-06,9.39099910452039E-22,1.92416901042438E-06,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l3.STL,,Arm Link 3 Assembly-2,Origin_joint_l3,Axis_joint_l3,joint_l3,revolute,0.0829,0,0,0,0,0,link_l2,1,0,0,0,0,0,0,,,,,,,,
link_l4,0.0342911769875062,-0.00514236003670787,-4.07013588854532E-05,0,0,0,0.169052742225624,3.67510576719424E-05,3.6497975912292E-07,-1.33869456871802E-07,4.03198573681713E-05,-2.04480445890195E-12,3.42114758441071E-05,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l4.STL,,Arm Link 4 Assembly-2,Origin_joint_l4,Axis_joint_l4,joint_l4,revolute,0.03,0,0,0,0,0,link_l3,0,0,1,0,0,0,0,,,,,,,,
link_l5,0.0280957583907159,-5.27355936696949E-15,-6.99855560041263E-05,0,0,0,0.0983193966224127,1.82547717455819E-05,-1.98174697744006E-22,1.33869460245802E-07,2.74058318008891E-05,-5.04057393379043E-22,1.55837095473525E-05,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l5.STL,,Arm Link 5 Assembly-2,Origin_joint_l5,Axis_joint_l5,joint_l5,revolute,0.0939,0,0,0,0,0,link_l4,1,0,0,0,0,0,0,,,,,,,,
link_l6,0.0164872038278415,0.00120003270607666,2.56285006151602E-05,0,0,0,0.0172967559051044,6.68342744332552E-06,-1.46499200429034E-21,3.21371297059934E-20,7.41338128122389E-06,-1.2460487823826E-22,2.10151137749978E-06,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/link_l6.STL,,Arm Link 6 Assembly-2,Origin_joint_l6,Axis_joint_l6,joint_l6,revolute,0.041,0,0,0,0,0,link_l5,0,0,1,0,0,0,0,,,,,,,,
endeffector_l0,-0.0878303952156479,0.0300596233530496,0.0257541149072398,0,0,0,0.00464948473160135,1.58573731325261E-07,-1.36726070255792E-09,-1.88765964969695E-10,3.92154281893383E-07,1.32320117882883E-23,3.79242197965951E-07,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/endeffector_l0.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/endeffector_l0.STL,,Arm Endeffector Body Assembly-2,Origin_joint_l7,,joint_l7,fixed,0.013761,-0.078968,0.029275,-1.5708,0,-1.5708,link_l6,0,0,0,0,0,0,0,,,,,,,,
endeffector_l1,-0.0296877205575308,-1.44921652108776E-05,5.65900179105849E-07,0,0,0,0.00133242825424337,5.92040264789311E-09,2.61573732840711E-11,-2.7211577957579E-12,3.69485155456481E-07,-2.91305418732359E-12,3.69258562031941E-07,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/endeffector_l1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://laptop_stand_assembly_urdf/meshes/endeffector_l1.STL,,Arm Endeffector Piston Assembly-2,Origin_joint_l8,Axis_joint_l8,joint_l8,prismatic,-0.051084,0.029275,0.025739,2.7549,0,0,endeffector_l0,1,0,0,0,0,0,0,,,,,,,,
